        100, 100, 101,     10000, a shifted =           0, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =    000-----,  a mod8 = 000, num = 000, 0
       1000,   0,   1,         1, a shifted =         100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
       1100, 100, 101,     10000, a shifted =           0, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =    000-----,  a mod8 = 000, num = 000, 0
      10100, 100, 101,     10000, a shifted =           0, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =    000-----,  a mod8 = 000, num = 000, 0
      10101, 101, 100,    100000, a shifted =           1, a shifted mod 8 = 001, a remultiplied =       10000, a unshifted =     001----,  a mod8 = 001, num = 000, 0
      11000,   0,   1,         1, a shifted =        1100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
      11100, 100, 101,     10000, a shifted =           0, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =    000-----,  a mod8 = 000, num = 000, 0
      11101, 101, 100,    100000, a shifted =           1, a shifted mod 8 = 001, a remultiplied =       10000, a unshifted =     001----,  a mod8 = 001, num = 000, 0
     101000,   0,   1,         1, a shifted =       10100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
     110010,  10,  11,       100, a shifted =         110, a shifted mod 8 = 110, a remultiplied =      110000, a unshifted =      110---,  a mod8 = 110, num = 000, 0
     111000,   0,   1,         1, a shifted =       11100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
    1001000,   0,   1,         1, a shifted =      100100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
    1011000,   0,   1,         1, a shifted =      101100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
    1101000,   0,   1,         1, a shifted =      110100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
    1110010,  10,  11,       100, a shifted =        1110, a shifted mod 8 = 110, a remultiplied =      110000, a unshifted =      110---,  a mod8 = 110, num = 000, 0
    1111000,   0,   1,         1, a shifted =      111100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
   10001000,   0,   1,         1, a shifted =     1000100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
   10010101, 101, 100,    100000, a shifted =        1001, a shifted mod 8 = 001, a remultiplied =       10000, a unshifted =     001----,  a mod8 = 001, num = 000, 0
   10011000,   0,   1,         1, a shifted =     1001100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
   10011101, 101, 100,    100000, a shifted =        1001, a shifted mod 8 = 001, a remultiplied =       10000, a unshifted =     001----,  a mod8 = 001, num = 000, 0
   10101000,   0,   1,         1, a shifted =     1010100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
   10110010,  10,  11,       100, a shifted =       10110, a shifted mod 8 = 110, a remultiplied =      110000, a unshifted =      110---,  a mod8 = 110, num = 000, 0
   10111000,   0,   1,         1, a shifted =     1011100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
   11000111, 111, 110,  10000000, a shifted =          11, a shifted mod 8 = 011, a remultiplied =    11000000, a unshifted =   011------,  a mod8 = 011, num = 000, 0
   11001000,   0,   1,         1, a shifted =     1100100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
   11001111, 111, 110,  10000000, a shifted =          11, a shifted mod 8 = 011, a remultiplied =    11000000, a unshifted =   011------,  a mod8 = 011, num = 000, 0
   11010111, 111, 110,  10000000, a shifted =          11, a shifted mod 8 = 011, a remultiplied =    11000000, a unshifted =   011------,  a mod8 = 011, num = 000, 0
   11011000,   0,   1,         1, a shifted =     1101100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
   11011111, 111, 110,  10000000, a shifted =          11, a shifted mod 8 = 011, a remultiplied =    11000000, a unshifted =   011------,  a mod8 = 011, num = 000, 0
   11100111, 111, 110,  10000000, a shifted =          11, a shifted mod 8 = 011, a remultiplied =    11000000, a unshifted =   011------,  a mod8 = 011, num = 000, 0
   11101000,   0,   1,         1, a shifted =     1110100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
   11101111, 111, 110,  10000000, a shifted =          11, a shifted mod 8 = 011, a remultiplied =    11000000, a unshifted =   011------,  a mod8 = 011, num = 000, 0
   11110010,  10,  11,       100, a shifted =       11110, a shifted mod 8 = 110, a remultiplied =      110000, a unshifted =      110---,  a mod8 = 110, num = 000, 0
   11110111, 111, 110,  10000000, a shifted =          11, a shifted mod 8 = 011, a remultiplied =    11000000, a unshifted =   011------,  a mod8 = 011, num = 000, 0
   11111000,   0,   1,         1, a shifted =     1111100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
   11111111, 111, 110,  10000000, a shifted =          11, a shifted mod 8 = 011, a remultiplied =    11000000, a unshifted =   011------,  a mod8 = 011, num = 000, 0
  100000100, 100, 101,     10000, a shifted =        1000, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =    000-----,  a mod8 = 000, num = 000, 0
  100000110, 110, 111,   1000000, a shifted =          10, a shifted mod 8 = 010, a remultiplied =   100000000, a unshifted =  010-------,  a mod8 = 010, num = 000, 0
  100001000,   0,   1,         1, a shifted =    10000100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
  100001100, 100, 101,     10000, a shifted =        1000, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =    000-----,  a mod8 = 000, num = 000, 0
  100001110, 110, 111,   1000000, a shifted =          10, a shifted mod 8 = 010, a remultiplied =   100000000, a unshifted =  010-------,  a mod8 = 010, num = 000, 0
  100010100, 100, 101,     10000, a shifted =        1000, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =    000-----,  a mod8 = 000, num = 000, 0
  100010101, 101, 100,    100000, a shifted =       10001, a shifted mod 8 = 001, a remultiplied =       10000, a unshifted =     001----,  a mod8 = 001, num = 000, 0
  100010110, 110, 111,   1000000, a shifted =          10, a shifted mod 8 = 010, a remultiplied =   100000000, a unshifted =  010-------,  a mod8 = 010, num = 000, 0
  100011000,   0,   1,         1, a shifted =    10001100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
  100011100, 100, 101,     10000, a shifted =        1000, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =    000-----,  a mod8 = 000, num = 000, 0
  100011101, 101, 100,    100000, a shifted =       10001, a shifted mod 8 = 001, a remultiplied =       10000, a unshifted =     001----,  a mod8 = 001, num = 000, 0
  100011110, 110, 111,   1000000, a shifted =          10, a shifted mod 8 = 010, a remultiplied =   100000000, a unshifted =  010-------,  a mod8 = 010, num = 000, 0
  100100110, 110, 111,   1000000, a shifted =          10, a shifted mod 8 = 010, a remultiplied =   100000000, a unshifted =  010-------,  a mod8 = 010, num = 000, 0
  100101000,   0,   1,         1, a shifted =    10010100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
  100101110, 110, 111,   1000000, a shifted =          10, a shifted mod 8 = 010, a remultiplied =   100000000, a unshifted =  010-------,  a mod8 = 010, num = 000, 0
  100110010,  10,  11,       100, a shifted =      100110, a shifted mod 8 = 110, a remultiplied =      110000, a unshifted =      110---,  a mod8 = 110, num = 000, 0
  100110110, 110, 111,   1000000, a shifted =          10, a shifted mod 8 = 010, a remultiplied =   100000000, a unshifted =  010-------,  a mod8 = 010, num = 000, 0
